,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Kolosovka,0,RU,1541272983,59,56.47,73.61,2.41,4.12
376,Antofagasta,20,CL,1541268000,63,-23.65,-70.4,64.4,14.99
377,Lavrentiya,20,RU,1541272986,100,65.58,-170.99,36.25,20.11
378,Mogocha,0,RU,1541272987,49,53.73,119.76,0.11,3.22
379,Golyshmanovo,64,RU,1541272988,76,56.4,68.37,21.17,7.36
380,Boa Vista,75,BR,1541271600,46,2.82,-60.67,91.4,6.93
381,Bandeirantes,36,BR,1541272991,72,-23.11,-50.37,87.1,8.75
382,Olean,90,US,1541271360,74,42.08,-78.43,42.98,9.17
383,Alofi,0,NU,1541271600,56,-19.06,-169.92,73.4,12.75
384,Salalah,0,OM,1541271000,61,17.01,54.1,78.8,5.82
385,Juegang,0,CN,1541272998,96,32.31,121.18,58.3,7.14
386,Bathsheba,20,BB,1541271600,66,13.22,-59.52,86.0,13.87
387,Warrnambool,64,AU,1541273000,90,-38.38,142.48,55.33,12.66
388,Atbasar,80,KZ,1541273002,84,51.81,68.36,28.15,3.04
389,Turukhansk,64,RU,1541273003,79,65.8,87.96,4.03,7.92
390,Liverpool,40,GB,1541271000,82,53.41,-2.98,55.4,21.92
391,Acajutla,20,SV,1541267400,74,13.59,-89.83,87.8,6.93
392,Launceston,0,AU,1541271600,93,-41.43,147.14,44.6,12.75
393,Buraydah,75,SA,1541268000,100,26.33,43.97,59.0,12.75
394,Shubarshi,32,KZ,1541273010,79,48.59,57.19,29.0,4.61
395,Vanimo,76,PG,1541273011,100,-2.67,141.3,79.0,12.28
396,Belaya Gora,76,RU,1541273012,73,68.54,146.19,-11.01,4.0
397,Richards Bay,0,ZA,1541273013,76,-28.77,32.06,64.82,10.83
398,Manzhouli,0,CN,1541273015,56,49.6,117.43,1.82,3.11
399,Tuatapere,80,NZ,1541273016,100,-46.13,167.69,46.51,27.16
400,Milkovo,20,BG,1541271600,100,41.53,24.68,55.4,4.7
401,Oranjemund,80,ZA,1541273019,94,-28.55,16.43,58.61,17.92
402,Tiksi,44,RU,1541273021,61,71.64,128.87,-7.45,9.75
403,Sobradinho,92,BR,1541273022,92,-29.41,-53.03,71.93,3.27
404,Mabaruma,80,GY,1541273023,93,8.2,-59.78,79.94,4.05
405,Baiyin,90,CN,1541271600,100,36.55,104.13,28.4,2.24
406,Eregli,20,TR,1541273025,84,37.51,34.05,39.98,3.33
407,Pangai,75,TO,1541268000,64,-19.8,-174.35,71.6,8.05
408,Abonnema,40,NG,1541268000,94,4.71,6.79,77.0,6.85
409,Storslett,64,NO,1541273029,100,69.77,21.03,28.37,1.81
410,Winfield,90,US,1541272500,56,41.41,-87.28,53.06,4.7
411,Natal,40,BR,1541271600,66,-5.81,-35.21,84.2,17.22
412,Iracoubo,36,GF,1541273033,75,5.48,-53.21,84.62,4.72
413,Saint John,90,CA,1541271600,100,45.28,-66.06,60.8,21.92
414,Port Keats,20,AU,1541273035,81,-14.25,129.55,83.41,11.54
415,Varhaug,75,NO,1541271000,93,58.61,5.65,50.0,19.46
416,Waterloo,90,CA,1541270640,86,43.47,-80.52,41.0,12.75
417,Deep River,90,CA,1541272440,86,46.1,-77.49,37.4,17.22
418,Ridgecrest,1,US,1541271360,12,35.62,-117.67,78.98,9.17
419,Tual,68,ID,1541273041,100,-5.67,132.75,80.08,12.62
420,Veraval,0,FR,1541271600,86,49.65,0.71,46.4,4.7
421,Buala,92,SB,1541273043,98,-8.15,159.59,80.3,8.63
422,Pierre,90,US,1541271180,95,44.37,-100.35,39.02,13.87
423,Carballo,75,ES,1541271600,93,43.21,-8.69,55.4,5.82
424,Abeche,0,TD,1541273047,54,13.83,20.83,75.89,2.89
425,Churapcha,64,RU,1541273048,62,62.0,132.43,11.68,11.32
426,Salamiyah,0,SY,1541273049,40,35.01,37.05,52.9,7.25
427,Sambava,92,MG,1541272771,100,-14.27,50.17,76.7,9.31
428,Chicama,20,PE,1541268000,77,-7.84,-79.15,69.8,11.41
429,Kruisfontein,24,ZA,1541273053,63,-34.0,24.73,70.18,12.77
430,San Andres,56,PH,1541273054,100,13.32,122.68,82.01,12.39
431,Oil City,90,US,1541271360,89,41.43,-79.71,42.08,8.05
432,Road Town,40,VG,1541271600,78,18.42,-64.62,82.04,8.05
433,Rock Sound,64,BS,1541273058,100,24.9,-76.2,82.37,10.16
434,Hofn,92,IS,1541273059,100,64.25,-15.21,38.68,26.98
435,Santa Rosa,0,AR,1541273061,63,-36.62,-64.29,76.43,3.6
436,Yerbogachen,68,RU,1541273062,68,61.28,108.01,18.61,9.15
437,Saint Anthony,40,US,1541271360,64,43.97,-111.68,42.08,13.87
438,Katherine,0,AU,1541271600,78,-14.47,132.26,77.0,3.36
439,Madhogarh,0,IN,1541273066,45,28.31,76.03,72.74,6.8
440,Port Macquarie,90,AU,1541271900,88,-31.43,152.91,68.0,10.29
441,Zhigansk,76,RU,1541273068,85,66.77,123.37,2.86,6.73
442,Emborion,40,GR,1541267400,46,40.48,21.55,53.6,2.21
443,Buin,20,CL,1541271600,26,-33.73,-70.74,78.8,6.93
444,Pitimbu,75,BR,1541268000,65,-7.47,-34.81,82.4,14.99
445,Luanda,40,AO,1541268000,78,-8.83,13.24,78.8,6.93
446,Kintinku,20,TZ,1541271600,50,-5.89,35.22,77.0,12.75
447,Okhotsk,8,RU,1541273076,100,59.36,143.24,16.31,15.19
448,Nizhniy Kuranakh,56,RU,1541273077,47,58.84,125.49,9.38,7.07
449,Inta,88,RU,1541273079,82,66.04,60.13,24.86,2.77
450,Abu Kamal,92,SY,1541273080,65,34.45,40.92,62.48,10.16
451,Planaltina,76,BR,1541273081,76,-15.62,-47.66,77.42,8.41
452,Yoichi,8,JP,1541273082,100,43.19,140.77,43.13,9.15
453,Padang,48,ID,1541273084,100,-0.92,100.36,81.7,6.24
454,Sinnamary,20,GF,1541273085,89,5.38,-52.96,83.86,9.08
455,Guaraniacu,64,BR,1541273086,100,-25.1,-52.88,70.45,2.89
456,Flagstaff,1,US,1541271420,29,35.2,-111.65,68.0,12.75
457,Fort Morgan,36,US,1541271600,36,40.25,-103.8,51.8,29.97
458,Oga,24,NG,1541273089,77,8.18,5.65,79.67,3.78
459,Cedar City,1,US,1541271180,27,37.68,-113.06,55.04,11.41
460,Placido de Castro,24,BR,1541273092,42,-10.34,-67.19,97.94,4.5
461,Pemberton,48,AU,1541273093,87,-34.44,116.03,53.93,7.81
462,Luderitz,32,NA,1541268000,93,-26.65,15.16,57.2,8.05
463,Mount Gambier,68,AU,1541273095,74,-37.83,140.78,54.92,5.12
464,Ronne,0,FR,1541271600,86,48.45,0.83,41.0,3.36
465,Lodja,92,CD,1541273098,100,-3.52,23.6,68.42,3.04
466,Severomuysk,8,RU,1541273099,28,56.17,113.57,-22.57,1.7
467,Nagato,20,JP,1541271600,76,34.35,131.14,57.2,8.05
468,Port-Gentil,40,GA,1541268000,83,-0.72,8.78,80.6,12.75
469,Desterro,8,BR,1541273103,32,-7.29,-37.09,92.36,8.03
470,Rawson,32,AR,1541273105,42,-43.3,-65.11,72.56,11.54
471,Tezu,92,IN,1541273106,70,27.93,96.16,58.79,1.54
472,Kimbe,44,PG,1541273107,100,-5.56,150.15,78.77,5.57
473,Taoudenni,0,ML,1541273109,23,22.68,-3.98,75.08,8.14
474,Saint-Francois,90,FR,1541271600,93,46.42,3.91,44.6,3.36
475,Yeppoon,0,AU,1541271600,88,-23.13,150.74,64.4,5.82
476,Fare,36,PF,1541273113,100,-16.7,-151.02,77.42,9.82
477,Liwale,92,TZ,1541273114,37,-9.8,37.92,86.24,7.52
478,Sinop,0,TR,1541273115,96,42.03,35.15,63.7,9.37
479,Smithers,90,CA,1541271600,93,54.78,-127.17,41.0,4.7
480,Kholm,12,RU,1541273118,94,57.15,31.18,46.1,11.05
481,Puerto El Triunfo,20,SV,1541271000,66,13.27,-88.55,89.6,5.82
482,Dombarovskiy,8,RU,1541273120,77,50.76,59.54,19.1,2.89
483,Anqiu,0,CN,1541273122,91,36.48,119.21,42.55,2.89
484,Shimoda,92,JP,1541273123,100,34.7,138.93,64.96,8.08
485,Mogadishu,20,SO,1541273125,99,2.04,45.34,81.02,5.79
486,Sechura,0,PE,1541273042,78,-5.56,-80.82,75.53,11.65
487,Bindki,80,IN,1541273127,42,26.04,80.58,80.71,5.57
488,Olivenza,0,ES,1541271600,87,38.68,-7.1,57.2,2.24
489,College,1,US,1541271480,81,64.86,-147.8,3.92,5.61
490,Chippewa Falls,90,US,1541271360,43,44.94,-91.39,46.04,11.41
491,Talnakh,64,RU,1541273132,72,69.49,88.39,-2.59,3.56
492,Aksarka,76,RU,1541273133,80,66.56,67.8,19.82,4.05
493,Henties Bay,0,NA,1541273134,95,-22.12,14.28,61.94,4.34
494,Jumla,88,NP,1541273135,100,29.28,82.18,23.96,1.7
495,Quatre Cocos,20,MU,1541268000,83,-20.21,57.76,73.4,2.24
496,Brigantine,1,US,1541271360,42,39.41,-74.36,60.98,25.28
497,Manzanillo,0,CU,1541273139,95,20.34,-77.12,84.71,8.03
498,Bridlington,64,GB,1541271000,71,54.08,-0.19,55.4,14.99
499,Kuytun,68,RU,1541273141,61,54.34,101.51,22.34,4.72
500,Nishihara,90,JP,1541271600,79,35.74,139.53,59.0,3.36
501,Emerald,0,AU,1541273144,88,-23.53,148.16,66.35,7.58
502,Yabassi,40,CM,1541268000,94,4.46,9.97,78.8,1.12
503,Mao,20,DO,1541271600,48,19.55,-71.08,87.8,13.87
504,Nieuw Amsterdam,75,SR,1541271600,74,5.88,-55.08,84.2,6.93
505,Iquitos,40,PE,1541268000,319,-3.75,-73.25,42.8,6.93
506,Valparaiso,75,US,1541272500,44,41.47,-87.06,53.06,4.27
507,Kiunga,76,PG,1541273151,94,-6.12,141.3,75.98,2.1
508,Vilyuysk,64,RU,1541273152,60,63.75,121.63,10.33,6.62
509,Jimenez,40,PA,1541271600,74,8.54,-82.37,84.2,6.93
510,Tessalit,0,ML,1541273154,23,20.2,1.01,81.92,6.35
511,Mogwase,0,ZA,1541273156,34,-25.28,27.22,71.75,7.85
512,Iskateley,80,RU,1541273157,100,67.68,53.15,27.16,8.25
513,Spirit River,90,CA,1541271600,92,55.78,-118.84,30.2,5.82
514,Goundam,0,ML,1541273159,26,16.42,-3.66,88.94,8.52
515,Los Llanos de Aridane,75,ES,1541271600,64,28.66,-17.92,71.6,18.34
516,Pangnirtung,90,CA,1541271600,78,66.15,-65.72,17.6,1.54
517,Sakaiminato,36,JP,1541271600,87,35.55,133.23,44.6,4.7
518,Valdivia,90,CL,1541271600,62,-39.81,-73.25,59.0,13.87
519,Broome,0,GB,1541271360,81,52.47,1.45,48.56,11.41
520,Veracruz,75,VE,1541271600,70,7.66,-72.25,84.2,10.29
521,Mimoso do Sul,0,BR,1541273169,64,-21.07,-41.37,87.86,4.05
522,Cap Malheureux,20,MU,1541271600,78,-19.98,57.61,73.4,2.24
523,Havelock,1,US,1541271360,37,34.88,-76.9,66.02,9.17
524,Nemuro,0,JP,1541273173,99,43.32,145.57,53.98,11.16
525,San Vicente,20,SV,1541271000,74,13.64,-88.78,89.6,3.36
526,The Valley,20,AI,1541271600,83,18.22,-63.06,78.8,12.75
527,Isangel,44,VU,1541273178,100,-19.55,169.27,74.5,19.82
528,Jasper,0,US,1541271360,40,33.83,-87.28,69.8,4.7
529,Swan Hill,80,AU,1541273180,74,-35.34,143.56,54.61,2.89
530,Epinal,90,FR,1541271600,76,48.18,6.45,50.0,2.24
531,Kirensk,64,RU,1541273183,61,57.78,108.12,19.33,9.6
532,Udachnyy,48,RU,1541273184,67,66.42,112.4,7.0,5.01
533,Kidal,0,ML,1541273188,26,18.44,1.41,82.46,2.82
534,Trondheim,75,NO,1541271000,75,63.43,10.4,42.8,18.34
535,Utica,90,US,1541271180,85,43.1,-75.23,42.08,21.92
536,Lucea,20,JM,1541271600,52,18.44,-78.17,89.6,21.92
537,Abalak,0,NE,1541273194,27,15.46,6.28,79.85,5.06
538,Zhoucheng,20,CN,1541273195,91,31.35,119.33,58.25,7.52
539,Kokopo,36,PG,1541273196,100,-4.34,152.27,79.31,4.12
540,Kushima,0,JP,1541273197,100,31.5,131.29,55.51,4.38
541,Hendrina,44,ZA,1541273199,71,-26.16,29.72,56.45,5.84
542,Teseney,20,ER,1541273200,54,15.11,36.66,79.22,7.92
543,Kozhevnikovo,0,RU,1541273201,91,56.26,83.98,14.24,7.36
544,Guamuchil,0,MX,1541272963,53,25.47,-108.1,85.16,3.11
545,Cape Coast,56,GH,1541273203,79,5.11,-1.24,79.85,5.28
546,Cap-aux-Meules,90,CA,1541272380,100,47.38,-61.86,55.4,18.34
547,San Policarpo,64,PH,1541273206,100,12.18,125.51,78.91,5.06
548,Denpasar,76,ID,1541272982,100,-8.65,115.22,72.88,0.25
549,Botshabelo,0,ZA,1541271600,42,-29.23,26.73,64.4,4.7
